rX,rY,oX,oY,gX,gY,pX,pY
0.46285714285714286,0.017500705457702034,0.46285714285714286,0.00618965818891261,0.46428571428571425,0.004284937033795001,0.46285714285714286,0.0026101572156825414
0.51,0.017500705457702034,0.5114285714285715,0.006289427440010983,0.5142857142857142,0.004216965034285826,0.5114285714285715,0.0026522295600204106
0.5657142857142857,0.017782794100389257,0.5657142857142857,0.006289427440010983,0.5671428571428572,0.004424185553847923,0.5671428571428572,0.0026101572156825414
0.6257142857142857,0.017782794100389257,0.6257142857142857,0.00649381631576212,0.6257142857142857,0.004354004653656653,0.6271428571428571,0.0026101572156825414
0.6928571428571428,0.018069429645629926,0.6928571428571428,0.006390804841860316,0.6928571428571428,0.004284937033795001,0.6914285714285715,0.0026101572156825414
0.7814285714285715,0.019262924490094376,0.7814285714285715,0.00649381631576212,0.7814285714285715,0.004354004653656653,0.7814285714285715,0.0026522295600204106
0.812857142857143,0.019573417814876627,0.8114285714285715,0.006704847260752352,0.812857142857143,0.004424185553847923,0.8142857142857144,0.0026101572156825414
0.8457142857142858,0.02053525026457148,0.8485714285714288,0.006812920690579622,0.8471428571428572,0.004716405217280888,0.8457142857142858,0.0026949800559069514
0.8814285714285716,0.022603030271419217,0.8814285714285716,0.0076198153005109055,0.8800000000000001,0.005191319731924582,0.8742857142857143,0.0028729848333536685
0.9185714285714286,0.02528004122200027,0.9171428571428573,0.009531618832347882,0.9185714285714286,0.006922736123733792,0.8814285714285716,0.0032132494689970604
0.9571428571428573,0.029663488391777328,0.9542857142857144,0.01355016065719809,0.9542857142857144,0.013990503141372956,0.8900000000000001,0.004424185553847923
0.992857142857143,0.03710602599110771,0.9957142857142859,0.02189161379132401,0.9942857142857143,0.028274106458819743,0.8971428571428571,0.007994250960446715
1.0342857142857143,0.04567959262995575,1.035714285714286,0.03480700588428415,1.035714285714286,0.04354004653656653,0.9085714285714287,0.015399265260594935
1.0785714285714287,0.05806158521389998,1.0771428571428574,0.05027926135296767,1.0771428571428574,0.058997462559235686,0.9171428571428573,0.02053525026457148
1.1214285714285714,0.07147705767941862,1.122857142857143,0.06598488200835596,1.12,0.07379986299046458,0.952857142857143,0.042169650342858266
1.1671428571428573,0.08799225435691078,1.1685714285714288,0.0825404185268019,1.165714285714286,0.08522275225393874,0.9942857142857143,0.06289427440010982
1.2142857142857144,0.10491397291363107,1.2157142857142857,0.09531618832347882,1.2142857142857144,0.10161187012357306,,
1.2671428571428573,0.1250898933430684,1.265714285714286,0.11184359317505337,1.2642857142857147,0.11006941712522103,,
1.3157142857142858,0.13550160657198076,,,,,,
