nv,mu,phi,r0_small,r0_large
5,0.08494776691458673,0.602048406964431,0.9992492492492493,1.4046546546546548
5,0.08494776691458673,0.6020484069644289,1.0042542542542543,1.405905905905906
5,0.08494776691458673,0.6020484069644325,1.0105105105105106,1.4071571571571573
5,0.08494776691458673,0.6020484069644318,1.0017517517517518,1.4021521521521523
5,0.08494776691458673,0.6020484069644263,1.0042542542542543,1.4146646646646648
5,0.08494776691458673,0.6020484069644313,0.9967467467467468,1.4046546546546548
5,0.08494776691458673,0.6020484069644325,1.0017517517517518,1.4046546546546548
5,0.08494776691458673,0.6020484069644341,1.0042542542542543,1.4121621621621623
5,0.08494776691458673,0.6020484069644333,1.0092592592592593,1.3996496496496498
5,0.08494776691458673,0.6020484069644254,1.0042542542542543,1.3996496496496498
7,0.08810175736056135,0.6045581115765474,1.0042542542542543,1.4021521521521523
7,0.08810175736056135,0.6045581115765292,1.0017517517517518,1.4034034034034035
7,0.08810175736056135,0.6045581115765484,1.0017517517517518,1.4021521521521523
7,0.08810175736056135,0.6045581115765508,0.9992492492492493,1.4071571571571573
7,0.08810175736056135,0.6045581115765539,0.9992492492492493,1.4034034034034035
7,0.08810175736056135,0.6045581115765342,1.0067567567567568,1.4034034034034035
7,0.08810175736056135,0.6045581115765322,0.9992492492492493,1.4046546546546548
7,0.08810175736056135,0.6045581115765312,0.9992492492492493,1.4071571571571573
7,0.08810175736056135,0.6045581115765379,1.0142642642642643,1.4046546546546548
7,0.08810175736056135,0.6045581115765354,1.0017517517517518,1.4046546546546548
11,0.0917953340839378,0.6076904859491099,0.9992492492492493,1.4034034034034035
11,0.0917953340839378,0.6076904859491064,0.9992492492492493,1.4021521521521523
11,0.0917953340839378,0.607690485949103,1.0017517517517518,1.4046546546546548
11,0.0917953340839378,0.6076904859491021,1.0042542542542543,1.400900900900901
11,0.0917953340839378,0.6076904859491081,1.0017517517517518,1.3996496496496498
11,0.0917953340839378,0.6076904859491065,0.9992492492492493,1.4021521521521523
11,0.0917953340839378,0.6076904859491044,1.0017517517517518,1.3996496496496498
11,0.0917953340839378,0.6076904859491044,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.607690485949101,1.0142642642642643,1.4021521521521523
11,0.0917953340839378,0.6076904859491061,1.00342008675342,1.4046546546546548
13,0.09291928548568841,0.6085771635811325,1.0055055055055055,1.405905905905906
13,0.09291928548568841,0.608577163581088,1.0042542542542543,1.3996496496496498
13,0.09291928548568841,0.6085771635811389,1.0042542542542543,1.4046546546546548
13,0.09291928548568841,0.6085771635811347,1.0042542542542543,1.4021521521521523
13,0.09291928548568841,0.6085771635811231,1.0042542542542543,1.3996496496496498
13,0.09291928548568841,0.6085771635811229,1.0017517517517518,1.4071571571571573
13,0.09291928548568841,0.6085771635811356,1.0017517517517518,1.4071571571571573
13,0.09291928548568841,0.6085771635811376,1.0017517517517518,1.4021521521521523
13,0.09291928548568841,0.6085771635810889,1.0042542542542543,1.405905905905906
13,0.09291928548568841,0.6085771635811326,1.0092592592592593,1.4071571571571573
19,0.0949963704011567,0.610055799743557,1.0025859192525859,1.3996496496496498
19,0.0949963704011567,0.6100557997435668,1.0017517517517518,1.4021521521521523
19,0.0949963704011567,0.6100557997435667,1.0017517517517518,1.400900900900901
19,0.0949963704011567,0.6100557997435658,0.9992492492492493,1.4021521521521523
19,0.0949963704011567,0.6100557997435644,1.0042542542542543,1.400900900900901
19,0.0949963704011567,0.6100557997435632,1.0017517517517518,1.4071571571571573
19,0.0949963704011567,0.6100557997435627,1.0017517517517518,1.4021521521521523
19,0.0949963704011567,0.6100557997435672,1.0042542542542543,1.405905905905906
19,0.0949963704011567,0.6100557997435647,1.0067567567567568,1.4046546546546548
19,0.0949963704011567,0.6100557997435696,0.9992492492492493,1.4096596596596598
31,0.09685551505548305,0.6114862920762468,1.0017517517517518,1.400900900900901
31,0.09685551505548305,0.6114862920762517,1.0017517517517518,1.4121621621621623
31,0.09685551505548305,0.6114862920762477,1.0092592592592593,1.4021521521521523
31,0.09685551505548305,0.61148629207623,1.0017517517517518,1.4034034034034035
31,0.09685551505548305,0.6114862920762437,1.0017517517517518,1.4046546546546548
31,0.09685551505548305,0.6114862920762331,1.0050884217550884,1.4171671671671673
31,0.09685551505548305,0.6114862920762334,1.0017517517517518,1.4096596596596598
31,0.09685551505548305,0.6114862920762435,1.0017517517517518,1.4071571571571573
31,0.09685551505548305,0.6114862920762256,1.0105105105105106,1.4046546546546548
31,0.09685551505548305,0.6114862920762391,1.0067567567567568,1.4046546546546548
5,0.08494776691458673,0.8100484069588455,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.8100484069588433,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.8100484069588474,0.9917417417417418,1.3996496496496498
5,0.08494776691458673,0.8100484069588468,0.9917417417417418,1.3996496496496498
5,0.08494776691458673,0.8100484069588405,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.8100484069588464,0.9867367367367368,1.3996496496496498
5,0.08494776691458673,0.8100484069588477,0.992992992992993,1.3996496496496498
5,0.08494776691458673,0.8100484069588488,0.9904904904904905,1.3996496496496498
5,0.08494776691458673,0.8100484069588483,0.992992992992993,1.3996496496496498
5,0.08494776691458673,0.8100484069588395,0.9892392392392393,1.3996496496496498
7,0.08810175736056135,0.8125581115709415,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8125581115709246,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.812558111570943,0.997997997997998,1.3996496496496498
7,0.08810175736056135,0.8125581115709453,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8125581115709481,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8125581115709289,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8125581115709276,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8125581115709261,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8125581115709333,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8125581115709302,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8156904859435337,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8156904859435304,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8156904859435264,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8156904859435254,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8156904859435323,0.997997997997998,1.3996496496496498
11,0.0917953340839378,0.8156904859435307,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.815690485943528,0.997997997997998,1.3996496496496498
11,0.0917953340839378,0.8156904859435282,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8156904859435239,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8156904859435302,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8165771635756217,0.9992492492492493,1.3996496496496498
