r_large,r_small,alpha,mu,phi
1.3633001,0.9629,1.0,1.0,0.836325
1.3985,0.9981,1.0,1.0,0.617325
1.3765,0.9915,1.0,1.0,0.809325
1.3985,0.9981,1.0,1.0,0.577325
1.3985,0.9959,1.0,1.0,0.687325
1.3941,0.99369997,1.0,1.0,0.803325
1.3941,0.99369997,1.0,1.0,0.799325
1.3985,1.0002999,1.0,1.0,0.587325
1.3677001,0.9673,1.0,1.0,0.822325
1.3721,0.9761,1.0,1.0,0.813325
1.3699,0.9717,1.0,1.0,0.816325
1.3633001,0.9629,1.0,1.0,0.832325
1.3941,0.99369997,1.0,1.0,0.798325
1.3941,0.99369997,1.0,1.0,0.797325
1.3985,0.9981,1.0,1.0,0.607325
1.3985,0.9981,1.0,1.0,0.717325
1.3985,0.9981,1.0,1.0,0.707325
1.3963001,0.9959,1.0,1.0,0.788325
1.3919001,0.9915,1.0,1.0,0.807325
1.3699,0.9695,1.0,1.0,0.818325
1.3677001,0.9695,1.0,1.0,0.819325
1.3985,1.0025,1.0,1.0,0.567325
1.3963001,0.9981,1.0,1.0,0.757325
1.3655,0.9651,1.0,1.0,0.828325
1.3985,0.9981,1.0,1.0,0.727325
1.3941,0.99369997,1.0,1.0,0.795325
1.3963001,0.9981,1.0,1.0,0.767325
1.3721,0.9739,1.0,1.0,0.814325
1.3941,0.99369997,1.0,1.0,0.801325
1.3941,0.9915,1.0,1.0,0.804325
1.3677001,0.9695,1.0,1.0,0.820325
1.3655,0.9673,1.0,1.0,0.825325
1.4007001,0.9981,1.0,1.0,0.647325
1.3963001,0.9959,1.0,1.0,0.791325
1.3743,0.9893,1.0,1.0,0.811325
1.3941,0.99369997,1.0,1.0,0.796325
1.3963001,0.99369997,1.0,1.0,0.792325
1.3985,0.9981,1.0,1.0,0.697325
1.3941,0.9959,1.0,1.0,0.794325
1.3963001,0.9959,1.0,1.0,0.789325
1.3941,0.9915,1.0,1.0,0.805325
1.3633001,0.9629,1.0,1.0,0.833325
1.3677001,0.9673,1.0,1.0,0.823325
1.3633001,0.9629,1.0,1.0,0.835325
1.3655,0.9651,1.0,1.0,0.827325
1.3919001,0.9915,1.0,1.0,0.808325
1.3963001,0.9981,1.0,1.0,0.737325
1.3699,0.9717,1.0,1.0,0.817325
1.3941,0.99369997,1.0,1.0,0.802325
1.3677001,0.9673,1.0,1.0,0.824325
1.3985,0.9981,1.0,1.0,0.657325
1.3941,0.99369997,1.0,1.0,0.800325
1.3985,0.9981,1.0,1.0,0.677325
1.3567,0.95849997,1.0,1.0,0.847325
1.3985,0.9959,1.0,1.0,0.747325
1.4007001,1.0002999,1.0,1.0,0.597325
1.3743,0.9915,1.0,1.0,0.810325
1.3985,1.0069001,1.0,1.0,0.557325
1.3941,0.99369997,1.0,1.0,0.793325
1.3963001,0.9959,1.0,1.0,0.787325
1.3611,0.9607,1.0,1.0,0.837325
1.3985,0.9981,1.0,1.0,0.637325
1.3611,0.9607,1.0,1.0,0.839325
1.3941,0.9915,1.0,1.0,0.806325
